Aula;Nome;Tópico;Curso;;;;
F01;;Introdução a Machine Learning e IA;ML_PW;;;;
F02;;Introdução a Machine Learning e IA;ML_PW;;;;
F03;;Introdução a Machine Learning e IA;ML_PW;;;;
F04;;Introdução a Machine Learning e IA;ML_PW;;;;
F05;;Introdução a Machine Learning e IA;ML_PW;;;;
F06;;Introdução a Machine Learning e IA;ML_PW;;;;
F07;;Introdução a Machine Learning e IA;ML_PW;;;;
F08;;Viés e Variância;ML_PW;;;;
F09;;Visão geral dos algoritmos de machine learning;ML_PW;;;;
F10;;Viés e Variância;ML_PW;;;;
F11;RL-(conceito + matemática o que o algoritmo faz debaixo dos panos);Regressão Linear;ML_PW;;;;
F12;RL-(Power BI Linha de Tendência);Regressão Linear;ML_PW;;;;
F13;RL-(Power BI e R Massa de Dados com R);Regressão Linear;ML_PW;;;;
F14;RL-(Script R Massa de Dados);Regressão Linear;ML_PW;;;;
F15;RL-(Power BI e R Treino e Teste);Regressão Linear;ML_PW;;;;
F16;RL-(Script R Treino e Teste);Regressão Linear;ML_PW;;;;
F17;RL-(Power BI e R Previsões);Regressão Linear;ML_PW;;;;
F18;RL-(Script R Previsões);Regressão Linear;ML_PW;;;;
F19;RL-(Power BI Coeficiente de determinação R2);Regressão Linear;ML_PW;;;;
F20;RL-(Script R Coeficiente de determinação R2);Regressão Linear;ML_PW;;;;
F21;RL-(apresentação do exercício);Regressão Linear;ML_PW;;;;
F22;RL-(Power BI Gráfico de Dispersão-solução exercício);Regressão Linear;ML_PW;;;;
F23;RL-(Power BI Gráfico de Dispersão com Tendência-solução exercício);Regressão Linear;ML_PW;;;;
F24;RL-(Power BI Gráfico de Colunas-solução exercício);Regressão Linear;ML_PW;;;;
F25;RL-(Power BI Gráfico de Pizza-solução exercício);Regressão Linear;ML_PW;;;;
F26;RL-(Power BI e R Modelo e Previsões-solução exercício);Regressão Linear;ML_PW;;;;
F27;Pré-processamento dados missing;Pré-processamento;ML_PW;;;;
F28;Pré-processamento (solução do exercício);Pré-processamento;ML_PW;;;;
F29;Feature selection correlação (conceito);Pré-processamento;ML_PW;;;;
F30;Feature selection correlação (Power BI e Python);Pré-processamento;ML_PW;;;;
F31;Ridge regression (conceito + matemática o que o algoritmo faz debaixo dos panos);Outros modelos de regressão linear;ML_PW;;;;
F32;Ridge regression (Power BI e Python resolvendo um problema);Outros modelos de regressão linear;ML_PW;;;;
F33;Ridge regression (Script Python resolvendo um problema);Outros modelos de regressão linear;ML_PW;;;;
F34;Regularização L1, L2 e regressão Lasso;Outros modelos de regressão linear;ML_PW;;;;
F35;Lasso regression (Power BI e Python resolvendo um problema);Outros modelos de regressão linear;ML_PW;;;;
F36;Elastic net (conceito + matemática o que o algoritmo faz debaixo dos panos);Outros modelos de regressão linear;ML_PW;;;;
F37;Elastic net (Power BI e Python resolvendo um problema);Outros modelos de regressão linear;ML_PW;;;;
F38;Gráfico Valores Reais x Previstos (apresentando o exercício);Outros modelos de regressão linear;ML_PW;;;;
F39;Gráfico Valores Reais x Previstos (Power BI e Python solução do exercício);Outros modelos de regressão linear;ML_PW;;;;
F40;Conteúdo do Módulo;Validação cruzada e ajuste fino dos parâmetros;ML_PW;;;;
F41;Pacote Caret (linguagem R);Validação cruzada e ajuste fino dos parâmetros;ML_PW;;;;
F42;Validação cruzada Kfold (Teoria o que o algoritmo faz debaixo dos panos);Validação cruzada e ajuste fino dos parâmetros;ML_PW;;;;
F43;Validação cruzada Kfold (aplicação prática em R);Validação cruzada e ajuste fino dos parâmetros;ML_PW;;;;
F44;Busca de parâmetros em um modelo (aplicação prática em R);Validação cruzada e ajuste fino dos parâmetros;ML_PW;;;;
F45;Teste de parâmetros específicos em um modelo (aplicação prática em R);Validação cruzada e ajuste fino dos parâmetros;ML_PW;;;;
F46;Regressão logística (conceito + matemática o que o algoritmo faz debaixo dos panos);Regressão Logística;ML_PW;;;;
F47;Regressão logística (Power BI Pré-processamento);Regressão Logística;ML_PW;;;;
F48;Regressão logística (Power BI e R Modelo);Regressão Logística;ML_PW;;;;
F49;Regressão logística (Power BI e R Análise dos Resultados);Regressão Logística;ML_PW;;;;
F50;Regressão logística (apresentação do exercício);Regressão Logística;ML_PW;;;;
F51;Regressão logística (Script R solução do exercício);Regressão Logística;ML_PW;;;;
F52;Regressão logística (Power BI solução do exercício);Regressão Logística;ML_PW;;;;
F53;Medição de desempenho Confusion Matrix (teoria e prática no Power BI);Confusion matrix e normalização;ML_PW;;;;
F54;Medição de desempenho ROCAUC (conceito + matemática o que o algoritmo faz debaixo dos panos);Confusion matrix e normalização;ML_PW;;;;
F55;Medição de desempenho ROCAUC (Script R e Python);Confusion matrix e normalização;ML_PW;;;;
F56;Medição de desempenho ROCAUC (Power BI Gráfico);Confusion matrix e normalização;ML_PW;;;;
F57;Medição de desempenho ROCAUC (Script Python auc);Confusion matrix e normalização;ML_PW;;;;
F58;Normalizando dados (Script R);Confusion matrix e normalização;ML_PW;;;;
F59;KNN (conceito + matemática o que o algoritmo faz debaixo dos panos);KNN;ML_PW;;;;
F60;KNN (Power BI e R);KNN;ML_PW;;;;
F61;KNN (apresentação do exercício);KNN;ML_PW;;;;
F62;KNN (Power BI e R resolução do exercício);KNN;ML_PW;;;;
F63;Teorema de Bayes (conceito teórico);Naive Bayes;ML_PW;;;;
F64;Gaussian, Multinomial (Poisson), Bernoulli (o que os algoritmos Naive Bayes fazem debaixo dos panos);Naive Bayes;ML_PW;;;;
F65;Suavização de Laplace;Naive Bayes;ML_PW;;;;
F66;Naive Bayes (Python Dataset Iris);Naive Bayes;ML_PW;;;;
F67;Naive Bayes (Power BI e Python);Naive Bayes;ML_PW;;;;
F68;Decision Trees (conceito + matemática o que o algoritmo faz debaixo dos panos) – Parte 1 entropia;Decision Trees;ML_PW;;;;
F69;Decision Trees (conceito + matemática o que o algoritmo faz debaixo dos panos) – Parte 2 índice GINI;Decision Trees;ML_PW;;;;
F70;Decision Trees evitando overfitting;Decision Trees;ML_PW;;;;
F71;Decision Trees (conceito + matemática o que o algoritmo faz debaixo dos panos) – Parte 3 regressão;Decision Trees;ML_PW;;;;
F72;Decision Trees Classifier (Power BI e R);Decision Trees;ML_PW;;;;
F73;Decision Trees Classifier (Power BI e R Ajuste de Parâmetros);Decision Trees;ML_PW;;;;
F74;Decision Trees (apresentação do exercício);Decision Trees;ML_PW;;;;
F75;Decision Trees (resolução do exercício);Decision Trees;ML_PW;;;;
F76;Projeto Final - Apresentação;Projeto Final;ML_PW;;;;
F77;Projeto Final - Proposta de Solução;Projeto Final;ML_PW;;;;
F78;Projeto Final - Power BI - Pré-processamento;Projeto Final;ML_PW;;;;
F79;Projeto Final - Power BI e R - Modelo;Projeto Final;ML_PW;;;;
F80;Projeto Final - Power BI e R - Previsões;Projeto Final;ML_PW;;;;
F81;Projeto Final - Power BI - Estrutura do Dashboard;Projeto Final;ML_PW;;;;
F82;Projeto Final - Power BI - Gráfico de Linhas;Projeto Final;ML_PW;;;;
F83;Projeto Final - Power BI - Gráfico de Barras;Projeto Final;ML_PW;;;;
F84;Projeto Final - Power BI - Gráfico de Barras Empilhadas;Projeto Final;ML_PW;;;;
F85;Projeto Final - Power BI - Dashboard Final;Projeto Final;ML_PW;;;;
